Rank,University,Overall Score,ACADEMIC REPUTATION,EMPLOYER REPUTATION,FACULTY STUDENT,INTERNATIONAL FACULTY,INTERNATIONAL STUDENTS,CITATIONS PER FACULTY,Region
75,Sorbonne University,64.8,88.4,46.6,59.4,41.4,54.6,39.7,France
75,The University of Sheffield,64.8,61,64.1,64.5,88.9,94.2,58.8,UK
77,Tohoku University,64.3,68.7,61.8,98.4,14.5,18.2,45.7,Japan
78,University of Zurich,63.6,55.6,70.8,99,100,59.2,31.8,Switzerand
79,University of Birmingham,63.5,63.6,84.9,53.6,91.5,88.2,48.5,UK
79,University of Copenhagen,63.5,67.2,47,99.9,91.6,28,28.8,Denmark
81,KU Leuven,63.4,76.5,60.8,13.4,89.6,39.8,87.1,Belgium
82,University of Nottingham,63.1,61.3,79.5,60.4,93.5,83.8,47.5,UK
83,Pohang University of Science And Technology (POSTECH),63,38.7,49.2,99.8,46.6,5.4,99.6,South Korea
83,"University of North Carolina, Chapel Hill",63,68.1,43.1,95.5,31.7,12.7,49.6,USA
85,The University of Auckland,62.8,82.7,59.4,21.3,87,91.3,52.3,New Zealand
86,Korea University,62.7,66.7,84.7,86.8,16.9,44.2,34.8,South Korea
87,Rice University,62.6,38.7,18.5,85.6,89.6,85.3,96,USA
87,Universiti Malaya (UM),62.6,63.9,57.7,93.5,55.9,61.2,32.6,Malaysia
89,The Ohio State University,62.4,64.8,55.6,81.7,81.8,41.2,41.3,USA
90,Lomonosov Moscow State University,62.3,71.3,78.2,99.7,16.6,73.1,6.7,Russia
91,The University of Western Australia,62.2,60,58.6,24,100,94.7,88.4,Australia
92,Lund University,62.1,67.2,52.6,57.4,89.6,71.8,51.2,Sweden
93,Boston University,62,62.4,66,70.8,28.6,87,51.9,USA
93,University of Leeds,62,67.1,83.8,49.9,84.6,81.6,41.7,UK
95,Pennsylvania State University,61.9,77.7,70.4,26.8,14.1,40.3,77.8,USA
96,University of Southampton,61.6,53.1,53.4,65.5,95.3,89.4,62.4,UK
97,University of St Andrews,61.4,43.2,47.7,69,99,99.9,77,Scotland
98,University of Science and Technology of China,60.8,53.7,35.9,74.2,15.9,5.9,98.4,China
99,Eindhoven University of Technology,59.8,29.7,51.2,82.1,97.7,47.5,94.9,Netherlands
100,Purdue University,59.5,65.7,60.7,35.2,97.5,69.2,58.3,USA
