,Entity,Code,Year,Population (historical)
557,Africa (UN),,1981,497620643
558,Africa (UN),,1982,512958551
559,Africa (UN),,1983,528232408
560,Africa (UN),,1984,543637781
561,Africa (UN),,1985,559663771
562,Africa (UN),,1986,575967004
563,Africa (UN),,1987,592601033
564,Africa (UN),,1988,609387393
565,Africa (UN),,1989,626358876
566,Africa (UN),,1990,643775030
567,Africa (UN),,1991,661103507
568,Africa (UN),,1992,678557822
569,Africa (UN),,1993,696621490
570,Africa (UN),,1994,714502385
571,Africa (UN),,1995,732695149
572,Africa (UN),,1996,751473491
573,Africa (UN),,1997,770384412
574,Africa (UN),,1998,789981456
575,Africa (UN),,1999,810079553
576,Africa (UN),,2000,830582527
577,Africa (UN),,2001,851690082
578,Africa (UN),,2002,873411063
579,Africa (UN),,2003,895734225
580,Africa (UN),,2004,918778215
581,Africa (UN),,2005,942546391
582,Africa (UN),,2006,966932135
583,Africa (UN),,2007,992055602
584,Africa (UN),,2008,1018065273
585,Africa (UN),,2009,1044777532
586,Africa (UN),,2010,1072216499
587,Africa (UN),,2011,1100148605
588,Africa (UN),,2012,1128843456
589,Africa (UN),,2013,1158780288
590,Africa (UN),,2014,1189220347
591,Africa (UN),,2015,1220075494
592,Africa (UN),,2016,1251208463
593,Africa (UN),,2017,1282902108
594,Africa (UN),,2018,1315409781
595,Africa (UN),,2019,1348005491
596,Africa (UN),,2020,1380821159
597,Africa (UN),,2021,1413753053
598,Africa (UN),,2022,1446883651
599,Africa (UN),,2023,1480770527
600,Akrotiri and Dhekelia,OWID_AKD,1800,3710
601,Akrotiri and Dhekelia,OWID_AKD,2005,15700
602,Akrotiri and Dhekelia,OWID_AKD,2008,15700
603,Albania,ALB,-10000,1199
604,Albania,ALB,-9000,1999
605,Albania,ALB,-8000,3332
606,Albania,ALB,-7000,5554
607,Albania,ALB,-6000,9256
608,Albania,ALB,-5000,15428
609,Albania,ALB,-4000,25713
610,Albania,ALB,-3000,42855
611,Albania,ALB,-2000,71426
612,Albania,ALB,-1000,119043
613,Albania,ALB,0,198405
614,Albania,ALB,100,198604
615,Albania,ALB,200,198803
616,Albania,ALB,300,199002
617,Albania,ALB,400,199201
618,Albania,ALB,500,199400
619,Albania,ALB,600,199600
620,Albania,ALB,700,199800
621,Albania,ALB,800,200000
622,Albania,ALB,900,200000
623,Albania,ALB,1000,200000
624,Albania,ALB,1100,200000
625,Albania,ALB,1200,200000
626,Albania,ALB,1300,200000
627,Albania,ALB,1400,200000
628,Albania,ALB,1500,200000
629,Albania,ALB,1600,200000
630,Albania,ALB,1700,300000
631,Albania,ALB,1710,311416
632,Albania,ALB,1720,322833
633,Albania,ALB,1730,334250
634,Albania,ALB,1740,345666
635,Albania,ALB,1750,357083
636,Albania,ALB,1760,368500
637,Albania,ALB,1770,379916
638,Albania,ALB,1780,391333
639,Albania,ALB,1790,402750
640,Albania,ALB,1800,400000
641,Albania,ALB,1801,401773
642,Albania,ALB,1802,403554
643,Albania,ALB,1803,405343
644,Albania,ALB,1804,407140
645,Albania,ALB,1805,408945
646,Albania,ALB,1806,410758
647,Albania,ALB,1807,412579
648,Albania,ALB,1808,414408
649,Albania,ALB,1809,416246
650,Albania,ALB,1810,418099
651,Albania,ALB,1811,419953
652,Albania,ALB,1812,421814
653,Albania,ALB,1813,423684
654,Albania,ALB,1814,425563
655,Albania,ALB,1815,427449
656,Albania,ALB,1816,429344
657,Albania,ALB,1817,431248
658,Albania,ALB,1818,433159
659,Albania,ALB,1819,435086
660,Albania,ALB,1820,437026
661,Albania,ALB,1821,438981
662,Albania,ALB,1822,440950
663,Albania,ALB,1823,442934
664,Albania,ALB,1824,444927
665,Albania,ALB,1825,446929
666,Albania,ALB,1826,448940
667,Albania,ALB,1827,450959
668,Albania,ALB,1828,452988
669,Albania,ALB,1829,455027
670,Albania,ALB,1830,457074
671,Albania,ALB,1831,459130
672,Albania,ALB,1832,461196
